Name	        	Data Type
Add_c			DINT
Add_Digits		DINT
Add_i			DINT
Add_input_x		DINT[512]
Add_input_y		DINT[512]
Add_j			DINT
Add_Result		DINT[513]
Add_tmp			DINT
AddMul_2Base		DINT[250]
AddMul_Base		DINT[249]
AddMul_Digits		DINT
AddMul_exp_bitindx	DINT
AddMul_exp_blk		DINT
AddMul_i		DINT
AddMul_input_exp	DINT[249]
AddMul_input_g		DINT[249]
AddMul_j		DINT
AddMul_Result		DINT[500]
Big_base		DINT
Big_Comp_i		DINT
Big_Comp_Res		DINT
Big_lb			DINT
Big_Ver			DINT
Div_Digits		DINT
Div_i			DINT
Div_input_x		DINT[500]
Div_input_y		DINT[500]
Div_j			DINT
Div_k			DINT
Div_m			DINT
Div_mul			DINT[500]
Div_q_Digits		DINT
Div_quotient		DINT[500]
Div_remainder		DINT[500]
Div_state		DINT
Div_sub_n		DINT
Div_x			DINT
Div_x_Digits		DINT
Div_y_Digits		DINT
Mul_c			DINT
Mul_Comp		DINT
Mul_Digits		DINT
Mul_i			DINT
Mul_input_x		DINT[513]
Mul_input_y		DINT[513]
Mul_j			DINT
Mul_q			DINT
Mul_Result		DINT[1025]
Mul_u			DINT
Mul_v			DINT
Mul_x			DINT
Mul_y			DINT
Sub_c			DINT
Sub_Digits		DINT
Sub_i			DINT
Sub_input_x		DINT[512]
Sub_input_y		DINT[512]
Sub_j			DINT
Sub_Result		DINT[512]
