Name			Data Type
Chaskey_128_i		DINT
Chaskey_a		DINT
Chaskey_BNum		DINT
Chaskey_i		DINT
Chaskey_IndexDiv	DINT
Chaskey_IndexMod	DINT
Chaskey_input_pi	DINT[4]
Chaskey_j		DINT
Chaskey_key		DINT[4]
Chaskey_L		DINT[4]
Chaskey_LastBlk		DINT[4]
Chaskey_lb		DINT[16]
Chaskey_Message		DINT[256]
Chaskey_mlen		DINT
Chaskey_MsgBitLen	DINT
Chaskey_MsgBlk		DINT[64]
Chaskey_MsgBlkLen	DINT
Chaskey_per_i		DINT
Chaskey_round		DINT
Chaskey_subkey_1	DINT[8]
Chaskey_subkey_2	DINT[8]
Chaskey_subkey1_i	DINT
Chaskey_subkey2_i	DINT
Chaskey_tag		DINT[4]
Chaskey_Temp		DINT
Chaskey_z		DINT
SCAN_CYCLE_TIME		DINT
test_i			DINT
