Name				Data Type
PHT_Bit_indxj			DINT
PHT_Byte_indxi			DINT
PHT_Ceilmod			DINT
PHT_CeilRres			DINT
PHT_CompressFunction_BitOffSet	DINT
PHT_D				DINT
PHT_Digest			DINT[60]
PHT_DIGESTSIZE			DINT
PHT_GetByte_BitOffSet		DINT
PHT_GetByte_i			DINT
PHT_GetByte_Indx		DINT
PHT_GetByte_j			DINT
PHT_GetByte_NoOfBits		DINT
PHT_GetByte_Res			DINT
PHT_hash_index			DINT
PHT_i				DINT
PHT_index			DINT
PHT_Init_i			DINT
PHT_isPadding			BOOL
PHT_IV				INT[8,8]
PHT_j				DINT
PHT_Message			DINT[1024]
PHT_MessIndex			DINT
PHT_MsgBitLen			DINT
PHT_Padded			DINT[1024]
PHT_Padded_bound		DINT
PHT_Padded_Index		DINT
PHT_Per_i			DINT
PHT_Per_j			DINT
PHT_Per_r			DINT
PHT_RATE			DINT
PHT_RATEP			DINT
PHT_RC				DINT[8,12]
PHT_round			DINT
PHT_S				DINT
PHT_SCS_c			DINT
PHT_SCS_i			DINT
PHT_SCS_index			DINT
PHT_SCS_indxi			DINT
PHT_SCS_j			DINT
PHT_SCS_OS			DINT[8,8]
PHT_SCS_r			DINT
PHT_SCS_v			DINT[2]
PHT_Squeeze_i			DINT
PHT_Squeeze_tmp			DINT
PHT_State			DINT[8,8]
PHT_Table			DINT[8,256,2]
PHT_Tmp				DINT[2]
PHT_Ver				DINT
PHT_WordToByte_BitOffSet	DINT
PHT_WordToByte_i		DINT
PHT_WordToByte_indxi		DINT
PHT_WordToByte_indxj		DINT
PHT_WordToByte_j		DINT
PHT_WordToByte_NoOfBits		DINT
PHT_WordToByte_WordOffset	DINT
PHT_WordXorByte_BitOffSet	DINT
PHT_WordXorByte_i		DINT
PHT_WordXorByte_j		DINT
PHT_WordXorByte_NoOfBits	DINT
PHT_WordXorByte_Str		DINT[1024]
PHT_WordXorByte_WordOffset	DINT
PHT_WriteByte_BitOffset		DINT
PHT_WriteByte_i			DINT
PHT_WriteByte_LocalFilter	DINT
PHT_WriteByte_NoOfBits		DINT
PHT_WriteByte_Value		DINT
Test_i				DINT
