Name				Data Type
Spon_Absorb_i			DINT
Spon_BAD_HASHBITLEN		DINT
Spon_capacity			DINT
Spon_Check_i			DINT
Spon_Check_j			DINT
Spon_Digest			DINT[256]
Spon_DIGESTSIZE			DINT
Spon_Hash_i			DINT
Spon_Hash_index			DINT
Spon_Hash_statrIndex		DINT
Spon_hashbitlen			DINT
Spon_i				DINT
Spon_INV_IV			DINT[512]
Spon_IV				DINT[512]
Spon_j				DINT
Spon_Message			DINT[1024]
Spon_messageblock		DINT[1024]
Spon_MsgBitLen			DINT
Spon_nBits			DINT
Spon_nRounds			DINT
Spon_nSBox			DINT
Spon_Pad_bitpos			DINT
Spon_Pad_byteind		DINT
Spon_Pad_indx			DINT
Spon_Permute_i			DINT
Spon_Permute_j			DINT
Spon_Player_i			DINT
Spon_Player_j			DINT
Spon_Player_PermutedBitNo	DINT
Spon_Player_pos			DINT
Spon_Player_tmp			DINT
Spon_Player_x			DINT
Spon_Player_y			DINT
Spon_Player_z			DINT
Spon_R_SizeInBytes		DINT
Spon_rate			DINT
Spon_remainingbitlen		DINT
Spon_res			DINT
Spon_retnuoCl_lfsr		DINT
Spon_retnuoCl_res		DINT
Spon_S				DINT[16]
Spon_SBoxLayer			DINT[256]
Spon_Slayer_input		DINT
Spon_Slayer_res			DINT
Spon_Squeeze_i			DINT
Spon_State			DINT[256]
Spon_State_tmp			DINT[256]
Spon_SUCCESS			DINT
Spon_Ver			DINT
Test_i				DINT
